existing_guard	protected_invariant	zrail_rail	governed_surface	negative_mutation	old_result	new_result	replacement_scope	decision
admin_create_delegation_token_guard.rs	API-38 has one linear request/completion owner	owner:call, owner:method-name, owner:field-write, test-mirror	create-delegation-token core, engine, facade, and evidence	derive Clone on the owner or add a second submit caller	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
admin_describe_delegation_tokens_guard.rs	API-41 has one linear request/completion owner	owner:call, owner:method-name, owner:field-write, test-mirror	describe-delegation-tokens core, engine, facade, and evidence	derive Clone on the owner or add a second submit caller	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
admin_expire_delegation_token_guard.rs	API-40 owns deadline capture and completion once	owner:call, owner:method-name, owner:field-write, test-mirror	expire-delegation-token core, engine, facade, and evidence	derive Clone on the owner or move deadline capture to a foreign file	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
admin_group_offset_alter_protocol_guard.rs	alter-offset protocol facts and submission have one owner	owner:method-name, owner:capability	alter-consumer-group-offset protocol seam	derive Copy on a protocol owner or add a second driver submitter	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
admin_group_offset_delete_protocol_guard.rs	delete-offset protocol facts and submission have one owner	owner:method-name, owner:capability	delete-consumer-group-offset protocol seam	derive Copy on a protocol owner or add a second driver submitter	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
admin_group_offsets_protocol_guard.rs	group-offset protocol facts stay opaque and singly owned	owner:method-name, owner:capability	shared group-offset protocol types and adapters	derive Clone on one protocol fact owner	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
admin_renew_delegation_token_guard.rs	API-39 has one linear request/completion owner	owner:call, owner:method-name, owner:field-write, test-mirror	renew-delegation-token core, engine, facade, and evidence	derive Clone on the owner or add a second submit caller	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
alter_consumer_group_offsets_engine_ownership_guard.rs	retained engine bytes mutate only in their host	owner:field-write	alter-group-offset engine state	mutate retained bytes through an owner-typed argument in another host	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
alter_consumer_group_offsets_facade_guard.rs	facade exposes one reviewed submission path	owner:method-name, test-mirror	alter-group-offset facade and engine bridge	add a second direct engine submission call from the facade	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
capability_allow_guard.rs	exceptions grant exact capabilities to exact files	owner:capability allowlist	all capability exception entries	add an allowed capability to a sibling file outside its allowlist	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
capability_guard.rs	forbidden runtime and transport capabilities stay in named owners	scope.symbols.deny, owner:capability, owner:call, owner:method-name	workspace capability rules	alias a forbidden runtime import inside a nested module	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	direct	retain-until-parity
ci_contract_guard.rs	CI evidence lanes remain exact, ordered, failing, and aggregated	gate digests only; no workflow-semantic parity	.github workflows and local composite actions	add if:false or continue-on-error to an evidence step	pending	not-applicable	none	retain-semantic
consumer_assigned_build_ownership_guard.rs	assigned-consumer builder remains nonduplicable	test-mirror	assigned-consumer build owner and evidence	derive Clone on the rejected builder	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_assigned_claim_ownership_guard.rs	claim authority is constructed and mutated by one owner	owner:type-construction, owner:capability, owner:field-write	assigned-consumer claim token	construct or mutate a claim token from a foreign module	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_assigned_close_completion_ownership_guard.rs	close completion publishes exactly once from its owner	owner:capability, owner:method-name, owner:field-write	assigned-consumer close completion	publish close completion from an unapproved file	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_assigned_close_slot_ownership_guard.rs	close terminal slot is minted and mutated by one owner	owner:type-construction, owner:capability, owner:field-write	assigned-consumer close slot	construct a close slot outside its sole owner	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_assigned_event_facade_guard.rs	event observer layers remain nonduplicable	test-mirror	assigned-consumer public and host event facades	derive Clone on either event observer layer	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_assigned_event_ownership_guard.rs	event queue state mutates only in its host	owner:capability, owner:method-name, owner:field-write	assigned-consumer event state	mutate the event collection from another module	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_assigned_host_ownership_guard.rs	assigned host state and capabilities have one owner	owner:capability, owner:method-name, owner:field-write	assigned-consumer host state	mutate synchronized host state through a foreign helper	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_assigned_next_event_ownership_guard.rs	next-event ticket cannot be duplicated	owner:capability, owner:field-write	assigned-consumer next-event ticket	derive Clone on the next-event ticket owner	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_assigned_owner_ownership_guard.rs	raw assigned runtime is constructed only by composition	owner:call, owner:capability, owner:field-write	assigned-consumer composition owner	move raw runtime construction into an unapproved file	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_assigned_recv_ownership_guard.rs	receive notification tickets have one factory and owner	owner:capability, owner:method-name, owner:field-write	assigned-consumer receive path	mint a receive ticket from a second factory	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_assigned_timers_guard.rs	timer capability and mutation stay in assigned host	owner:capability, owner:field-write	assigned-consumer timers	mutate a timer from a foreign module	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_assigned_topics_ownership_guard.rs	topic identity state mutates only in its owner	owner:capability, owner:field-write	assigned-consumer topic identity	mutate the topic field through a foreign typed binding	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_assignment_retirement_ownership_guard.rs	assignment retirement state is linear and locally mutated	owner:capability, owner:field-write	consumer assignment retirement	derive Clone on retirement state or mutate it elsewhere	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_call_ownership_guard.rs	classic-group receipts and privileged calls stay linear	owner:method-name, owner:capability, owner:field-write	classic-group call and settlement seams	change settlement to borrow rather than consume its receipt	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_fetch_activation_guard.rs	fetch activation follows its required preflight	owner:capability, owner:method-name, owner:field-write	classic-group fetch activation	move activation before its required preflight	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_fetch_preparation_guard.rs	fetch attempt authority is minted by preparation once	owner:call, owner:capability, owner:method-name, owner:field-write	classic-group fetch preparation	construct attempt authority outside the preparation owner	pending	blocked-ZRAIL-RC4-INCOMPLETE-ANALYSIS	partial	retain-partial
consumer_classic_group_fetch_preparation_order_guard.rs	fetch preparation operations retain exact source order	no RC4 source-order rail	classic-group preparation statement sequence	swap activation and front-interpretation statements	pending	not-applicable	none	retain-semantic
